frame_nmr,car_id,vehicle_type,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
2023-11-22 19:58:29.327932,486.0,car,[155.4048478365341 20.751683507322355 760.2719499635398 610.5853262542438],[345.56988525390625 484.2992248535156 466.1725158691406 567.28076171875],0.581641674041748,PAZ-25-68,0.9998402134324653
2023-11-22 19:58:29.850071,486.0,car,[159.71411891915693 16.421263086295994 755.94310575701 614.8976019172438],[345.5724792480469 484.31121826171875 466.16143798828125 567.2759399414062],0.5817664265632629,PAZ-25-68,0.9998449821793677
2023-11-22 19:58:30.322369,486.0,car,[87.92738098880716 -2.130450884836648 760.3193839715881 609.1555275367352],[323.096923828125 383.2467041015625 512.5977172851562 502.1065979003906],0.6416694521903992,NZK-13-64,0.39015038693897214
2023-11-22 19:58:30.901626,486.0,car,[50.8438274063721 -8.526470064444482 772.8594748904006 606.0791515340047],[323.0805358886719 383.2458190917969 512.5968627929688 502.1164245605469],0.641390323638916,NZK-13-64,0.37262908721481774
2023-11-22 19:58:31.504610,486.0,car,[30.151471145389962 -10.269964342207913 785.0915122786414 604.0841142891519],[323.0876770019531 383.25018310546875 512.5927734375 502.11273193359375],0.6414214968681335,NZK-13-64,0.3896578840217104
2023-11-22 19:58:32.076140,486.0,car,[40.57957645661088 4.45826719877698 771.2955985736974 630.8977476768699],[355.4354553222656 280.710205078125 499.92333984375 380.10498046875],0.5964080691337585,PCA-96-641,0.8124120273939162
2023-11-22 19:58:32.705766,486.0,car,[49.12709227673258 7.410854348111059 761.8991451977593 643.2820069802392],[355.4676208496094 280.6795349121094 499.9876403808594 380.11065673828125],0.596443235874176,PCA-96-641,0.8080811592612865
2023-11-22 19:58:33.313130,486.0,car,[55.812692363444285 6.549743313638032 755.2399195976072 649.5945744368383],[355.4620361328125 280.6734313964844 500.0017395019531 380.1083068847656],0.5965331792831421,PCA-96-641,0.6227869638503003
2023-11-22 19:58:37.862539,486.0,car,[123.91137453366014 -11.123317176146486 720.1605699224746 608.3873416360477],[344.4295349121094 278.949951171875 448.90557861328125 355.1942443847656],0.6198840737342834,NHT-70-70,0.9986515266564503
2023-11-22 19:58:38.480614,486.0,car,[142.27271892743988 -7.887874520933735 709.3795386167673 600.4404447642919],[344.4298400878906 278.9352722167969 448.8900451660156 355.2173156738281],0.6198630928993225,NHT-70-70,0.9987464790374329
2023-11-22 19:58:39.127575,486.0,car,[154.27392303303918 -4.573185328594889 700.3270551158814 595.3458155089497],[344.41943359375 278.9365539550781 448.8884582519531 355.20367431640625],0.6198539137840271,NHT-70-70,0.9986366949096026
2023-11-22 19:58:39.753591,486.0,car,[162.44426575369988 -1.7932717716464026 693.3119518426583 591.9347275168445],[344.41937255859375 278.9364013671875 448.88873291015625 355.2038269042969],0.619857668876648,NHT-70-70,0.9986366949096026
2023-11-22 19:58:40.289346,-1,-1,[-1 -1 -1 -1],[179.96914672851562 604.7691650390625 297.01190185546875 686.8046264648438],0.6293561458587646,LKH-331-A,0.8053346002795356
2023-11-22 19:58:40.830643,486.0,car,[38.69502052280768 104.87267234018924 579.1579014732292 703.459638862586],[179.96066284179688 604.75634765625 297.008544921875 686.805908203125],0.629258394241333,LKH-331-A,0.8277829760714409
2023-11-22 19:58:41.442474,486.0,car,[25.188405884378426 115.15484677628871 568.707459824348 715.2939860234085],[179.9607391357422 604.7564086914062 297.0085754394531 686.8057861328125],0.6292591094970703,LKH-331-A,0.8277829760714409
2023-11-22 19:59:14.959084,500.0,car,[171.1403940721387 -14.956686360803417 592.0358950601408 396.77411979756874],[350.7117919921875 235.03500366210938 418.53955078125 281.7320556640625],0.6626219153404236,LHC-395-0,0.5859675309196279
2023-11-22 19:59:15.756378,500.0,car,[203.02703663000705 -14.178155318913156 600.7298150057348 387.2886274480768],[350.7170715332031 235.03518676757812 418.5439453125 281.72406005859375],0.6626372933387756,LHC-395-0,0.5859675309196279
2023-11-22 19:59:16.536165,500.0,car,[219.36040340641816 -11.739508253886783 600.055507433663 381.7309017799107],[350.7168884277344 235.0352020263672 418.5435791015625 281.72357177734375],0.6626452803611755,LHC-395-0,0.5859675309196279
2023-11-22 19:59:17.344915,500.0,car,[228.62073719938797 -9.176467282495622 596.868774534129 378.1763206939562],[350.716796875 235.03506469726562 418.5436706542969 281.7237548828125],0.6626527905464172,LHC-395-0,0.5859675309196279
2023-11-22 19:59:19.890470,528.0,car,[273.4658283383181 -20.268955536299842 721.0843739303859 384.3549287388969],[409.7688293457031 200.7729034423828 508.9658508300781 268.0462646484375],0.6250377297401428,LRY-126-H,0.7275002628509168
2023-11-22 19:59:21.066484,528.0,car,[283.9327267705871 -22.279391097001906 756.0007281622284 362.4764258086547],[409.76531982421875 200.77500915527344 508.97039794921875 268.0482177734375],0.6250122785568237,LRY-126-H,0.7258050627508188
2023-11-22 19:59:22.193042,528.0,car,[280.5699819904324 -19.21153037181213 768.0317003403231 353.41881351464565],[409.7652282714844 200.77493286132812 508.97021484375 268.04833984375],0.6250053644180298,LRY-126-H,0.7258050627508188
2023-11-22 19:59:23.415416,500.0,car,[269.6126906067518 10.96843270714595 709.5344769133469 371.7627527000288],[391.014404296875 192.12144470214844 441.92889404296875 231.0446319580078],0.6812995076179504,5554-UZM,0.13990217576391004
2023-11-22 19:59:26.657603,500.0,car,[275.2361061149111 22.455745254184052 686.3799951404035 373.1466250335625],[391.0143127441406 192.1215362548828 441.9288024902344 231.04481506347656],0.68131422996521,5554-UZM,0.13990217576391004
2023-11-22 19:59:29.743743,500.0,car,[282.3534841228255 28.95952287953409 672.319714136438 371.61328947524396],[391.01422119140625 192.1215057373047 441.92889404296875 231.04478454589844],0.681303083896637,5554-UZM,0.13990217576391004
2023-11-22 19:59:32.847611,500.0,car,[298.42013209182585 56.087019195671274 699.317042597068 408.7251687658272],[382.7469177246094 234.9811248779297 442.39398193359375 279.26324462890625],0.6656202077865601,ZR-39-61,0.8237635080587461
2023-11-22 19:59:33.638590,500.0,car,[302.5651288274704 64.71140937571585 711.2072536914891 424.45374321818707],[382.749267578125 234.98043823242188 442.3944396972656 279.261474609375],0.6657628417015076,ZR-39-61,0.8237635080587461
2023-11-22 19:59:34.499823,500.0,car,[302.6964275657141 66.69821635768238 716.8593782721921 431.51239188908033],[382.7486572265625 234.98048400878906 442.3946228027344 279.2615051269531],0.665714681148529,ZR-39-61,0.8237635080587461
2023-11-22 19:59:40.513750,540.0,car,[247.21694858783223 19.13857043396274 681.052735870016 444.18099984493017],[358.8084411621094 185.0866241455078 413.8597412109375 223.61302185058594],0.6221593022346497,PDH-50-49,0.801329158847881
2023-11-22 19:59:41.071181,540.0,car,[250.6670636191545 19.139761609977313 663.3000875184488 418.23385268057467],[358.8062438964844 185.08639526367188 413.8589172363281 223.6146240234375],0.6223617792129517,PDH-50-49,0.801329158847881
2023-11-22 19:59:41.605500,540.0,car,[255.83616101848818 23.347682590868033 653.4635156413107 404.3429063569495],[358.8065490722656 185.08639526367188 413.8588562011719 223.61471557617188],0.6223991513252258,PDH-50-49,0.801329158847881
